Lag,Window,Total Trades,Total Units,Win Rate (%),Total PnL,Average PnL,Max Drawdown,Risk-Reward,Avg Win,Avg Loss,Average MAE,Max MAE,Average MFE,Max MFE,Winning PnL,Losing PnL,Avg Trade Efficiency (%),Sharpe-like Ratio,Sortino Ratio,Expectancy,Normalized PnL,PnL per Unit,Efficiency Ratio
10,1,33375,57180,20.6501872659176,-5415.630000000032,-0.1622660674157313,5415.560000000021,2.362750500796921,2.104249854904235,-0.8905933378046064,-0.17547922953450912,-41.71500000000015,0.05615013376136975,40.98000000000002,14502.489999999989,-19918.12000000002,-12.027642511094603,-0.2674003148823546,-0.12321687456591543,-0.27215261018964493,-0.1622660674157313,-0.0947119622245546,-0.9247024154720296
10,2,32279,46362,15.412497289259273,-6293.510000000006,-0.19497227299482653,6293.950000000012,2.575996018123328,1.8457567839195932,-0.716521598222139,-0.20051975484576942,-23.980000000000015,0.10446614930243663,40.98000000000002,9182.639999999976,-15476.14999999998,-10.166201737447022,-0.34531738908649934,-0.18110300422407663,-0.32161051203126817,-0.19497227299482653,-0.13574716362538297,-0.9723344871670636
10,3,30746,40534,12.427632862811423,-5766.280000000052,-0.1875456970012376,5770.230000000038,3.061347246643649,1.9728866788798716,-0.6444504722693165,-0.21277592207116183,-57.08000000000038,0.14622882651401842,40.98000000000002,7538.39999999999,-13304.68000000004,-10.282411486479479,-0.28235559384481396,-0.18769999332159495,-0.3191774203425277,-0.1875456970012376,-0.14225785760102758,-0.8814234955518787
10,4,29539,37100,11.056569281289143,-5074.970000000027,-0.1718057483327136,5080.870000000009,3.474269578967093,2.0977679118187416,-0.6038011340623752,-0.22534144125844757,-57.08000000000038,0.1620542051750791,50.559999999999945,6851.3100000000095,-11926.280000000035,-10.74134705019377,-0.2299994228663248,-0.2026277449145587,-0.3051002808226675,-0.1718057483327136,-0.13679164420485246,-0.7624241123747271
10,5,28368,34508,10.363790186125211,-4317.140000000018,-0.15218344613649246,4321.620000000017,3.864216116117366,2.226629251700684,-0.5762175781042821,-0.2264273712163915,-57.08000000000038,0.15839531631885764,50.559999999999945,6546.290000000011,-10863.43000000003,-9.22862953744369,-0.18441877086929523,-0.18762418992301821,-0.28573641342483336,-0.15218344613649246,-0.12510548278660072,-0.6721071101914361
10,6,27432,32736,10.210702828813064,-3407.840000000041,-0.1242286380869073,3416.290000000041,4.26310388508683,2.370735451624416,-0.5561054845315198,-0.22645095144356694,-57.08000000000038,0.1389000984251981,54.90000000000009,6640.4299999999885,-10048.27000000003,-9.138556226139631,-0.13691897559250182,-0.1613995178605743,-0.25725445426858684,-0.1242286380869073,-0.10410068426197584,-0.5485896053647886
10,7,26540,31240,10.162019593067068,-2706.7300000000446,-0.10198681235870552,2715.510000000045,4.575761759577509,2.4631924360400443,-0.5383130865334818,-0.220376161768397,-57.08000000000038,0.1351520974629504,54.90000000000009,6643.23,-9349.960000000045,-8.502298974335387,-0.10596696606969112,-0.13882379370094983,-0.23329950724256998,-0.10198681235870552,-0.08664308578745342,-0.46278513764972434
10,8,25863,30143,10.389359316397943,-2261.5000000000523,-0.0874415187719929,2276.5700000000525,4.649052761498013,2.4616821734276066,-0.5295018791385808,-0.2070602469422184,-57.08000000000038,0.11563549601103373,54.90000000000009,6614.539999999979,-8876.04000000003,-8.423337848756352,-0.09051072410835065,-0.11767363077269251,-0.21873702010268609,-0.0874415187719929,-0.07502571077862363,-0.4222998864499281
11,1,33589,57398,20.399535562237638,-6121.190000000164,-0.18223793503826147,6120.940000000161,2.2991934907434515,2.0684821949795547,-0.8996555545704439,-0.18468991194679468,-23.980000000000015,0.05567568393280747,36.095000000000255,14173.239999999909,-20294.430000000073,-12.480848289314311,-0.31183056364025863,-0.1477207313845692,-0.29416923881479196,-0.18223793503826147,-0.10664465660824705,-0.9867238178702495
11,2,32353,46415,15.108336166661514,-7262.990000000018,-0.22449201001452782,7262.740000000034,2.4071828228714955,1.7607139934533593,-0.731441740412981,-0.20466627515222394,-31.360000000000127,0.11036633387939462,36.095000000000255,8606.37000000002,-15869.360000000037,-10.18537941374895,-0.4362150234816851,-0.21398688974267024,-0.35491847434372403,-0.22449201001452782,-0.15647937089303066,-1.0968685966828593
11,3,30814,40675,12.542999935094437,-6995.530000000015,-0.2270244044914654,7001.630000000001,2.602853877626281,1.7215084087968993,-0.6613926442796932,-0.21078100322364043,-57.08000000000038,0.13907782717812353,36.095000000000255,6653.630000000016,-13649.160000000029,-9.885719799857322,-0.42830115745869696,-0.23576866335915758,-0.36250536673893163,-0.2270244044914654,-0.17198598647818109,-1.0770629279650528
11,4,29528,37067,10.881197507450556,-6163.840000000006,-0.20874559739907902,6169.929999999981,3.0370393453806415,1.866756924992227,-0.6146633983624801,-0.2206234760227553,-57.08000000000038,0.16158696830127453,50.559999999999945,5997.890000000025,-12161.73000000003,-8.856426840242394,-0.33343451261338025,-0.22926304101833284,-0.34465515198823615,-0.20874559739907902,-0.1662891520759707,-0.9461622179207656
11,5,28404,34512,9.896493451626531,-5435.799999999989,-0.1913744543022106,5440.769999999975,3.471763122342836,2.041326929918186,-0.5879798989686387,-0.225277014974414,-57.08000000000038,0.1593012134441171,50.559999999999945,5738.170000000022,-11173.97000000001,-8.867487667344474,-0.26335685865360825,-0.21689576768310997,-0.32777072082468484,-0.1913744543022106,-0.1575046360686135,-0.8495072358977506
11,6,27514,32785,9.725957694264737,-4214.94999999997,-0.15319291996801518,4224.8799999999665,4.045106372272656,2.290026158445453,-0.5661226053639847,-0.22481167163383295,-57.08000000000038,0.14928660560684343,52.1550000000002,6128.1100000000315,-10343.060000000001,-9.036698150911898,-0.17772794736014516,-0.17895924955220116,-0.2883347849106136,-0.15319291996801518,-0.1285633673936242,-0.6814277873327306
11,7,26613,31234,9.589298463157103,-3428.809999999987,-0.12883966482546075,3431.619999999989,4.4504332410097,2.4468377742946803,-0.5497976582926003,-0.2172552574556274,-57.08000000000038,0.14014150352584648,52.1550000000002,6244.330000000024,-9673.14000000001,-8.934931745696742,-0.13583230395463022,-0.15335650543945448,-0.262441342809087,-0.12883966482546075,-0.10977812640071676,-0.5930335879295128
11,8,25817,29959,9.629314017895185,-2716.7800000000034,-0.10523221133361751,2724.110000000005,4.791712529202523,2.5799718423169775,-0.5384237528010384,-0.20472595576557848,-57.08000000000038,0.1234047333152582,52.1550000000002,6413.810000000006,-9130.59000000001,-8.817513134961862,-0.10309060254227817,-0.13162197373144177,-0.2381436486269133,-0.10523221133361751,-0.09068326713174683,-0.5140149959984248
12,1,33212,56948,20.528724557388895,-4732.270000000066,-0.14248675177646833,4734.0200000000805,2.475685287107438,2.1744793194485084,-0.8783343063726589,-0.18303996762501068,-31.85333333333392,0.05830382377568758,47.93666666666604,14825.599999999931,-19557.869999999995,-12.628084138168227,-0.21986236160155653,-0.12632816881298514,-0.2516306058773946,-0.14248675177646833,-0.0830980894851455,-0.7784461154865221
12,2,32100,46279,15.32398753894081,-6545.899999999983,-0.20392211838006177,6546.659999999983,2.5431982263736774,1.845212441553169,-0.725548021549323,-0.20076836448597937,-23.90000000000009,0.10801107476635673,36.41500000000042,9076.600000000039,-15622.500000000022,-10.713266426667273,-0.364255780101258,-0.2050613643211639,-0.3316050085274801,-0.20392211838006177,-0.14144428358434674,-1.0157084205081655
12,3,30542,40304,12.39604479077991,-6565.460000000017,-0.21496496627594844,6566.820000000049,2.779578521397042,1.8150264131009002,-0.6529861988531452,-0.21570281361185525,-57.0,0.15833064850588383,36.41500000000042,6871.690000000008,-13437.150000000023,-9.951426683916425,-0.36997853196518793,-0.2383971647896205,-0.3470502500332246,-0.21496496627594844,-0.16289847161572096,-0.9965793337437195
12,4,29343,36723,10.581740108373378,-6049.4500000000535,-0.20616330981835715,6049.780000000052,3.1676179102425728,1.9306086956521742,-0.6094828196953622,-0.22822454532029093,-57.0,0.1708542809755885,50.46000000000004,5994.540000000001,-12043.990000000053,-9.171004230232965,-0.31210244772330337,-0.2411363111185751,-0.3406969370264428,-0.20616330981835715,-0.16473191188083908,-0.9033353950997121
12,5,28131,34057,9.601507234012299,-5236.420000000018,-0.18614411147844082,5236.750000000007,3.6613807580996185,2.1296630877452833,-0.5816557272919769,-0.23065440854099095,-57.0,0.17976967876482824,50.46000000000004,5752.22000000001,-10988.640000000027,-9.191136640942428,-0.24049512455022412,-0.22567752774045013,-0.32132825512903773,-0.18614411147844082,-0.15375458789676186,-0.8070260293566427
12,6,27229,32337,9.27320136619046,-4274.04000000005,-0.15696646957288368,4274.370000000059,4.199937860394394,2.3659326732673214,-0.563325637642922,-0.23081573567397357,-57.0,0.17709604955501054,47.815000000000055,5973.979999999986,-10248.020000000037,-8.802971418382231,-0.17415495054751362,-0.20072738537161405,-0.2916896159363458,-0.15696646957288368,-0.13217181556730834,-0.6800509900876008
12,7,26359,30807,9.040555408020031,-3703.0100000000753,-0.1404837057551529,3702.940000000075,4.52162323356667,2.4845950482584884,-0.549491835103349,-0.22455903739393024,-57.0,0.16947487891548935,47.815000000000055,5920.789999999978,-9623.800000000054,-9.064552399789344,-0.1451950519229386,-0.18478943638766837,-0.27519352928555396,-0.1404837057551529,-0.12020027915733682,-0.6255980938710157
12,8,25622,29538,8.843962219967217,-3112.5200000000527,-0.12147841698540522,3119.6300000000538,4.923393664102502,2.6454766107678664,-0.5373278659507958,-0.21585795410194156,-57.0,0.15504244399344447,47.815000000000055,5994.649999999985,-9107.170000000038,-8.823998046089343,-0.1152465330390586,-0.16051083863659382,-0.2558418404943721,-0.12147841698540522,-0.10537341729298032,-0.5627701674965174
1,1,36866,74049,16.364672055552543,-26965.330000000013,-0.7314417078066514,26965.18000000008,1.21081023341381,1.4600497265042451,-1.2058452152223051,-0.13985508844127742,-22.71000000000004,0.037527866042528196,49.559999999999945,8808.48000000011,-35773.81000000013,-18.8549545199475,-5.754750016968852,-0.5077429593626014,-0.7695802506631916,-0.7314417078066514,-0.3641552215424923,-5.229997105995684
1,2,31434,54756,11.894763631736337,-21344.64000000005,-0.6790303493033037,21344.49000000019,1.345172729418904,1.463535704733892,-1.087990912041548,-0.13893527708850165,-22.71000000000004,0.04513261118534131,49.559999999999945,5472.160000000022,-26816.800000000076,-15.645621481418718,-3.6162415909709242,-0.47144879027541575,-0.7844928519752705,-0.6790303493033037,-0.3898137190444892,-4.887386152263993
1,3,27979,44508,9.571464312520105,-17349.800000000003,-0.620100789878123,17349.8000000001,1.6190144031743585,1.6383271097834289,-1.0119286811600963,-0.12734161930972,-22.13000000000011,0.015628822807581884,49.559999999999945,4387.440000000022,-21737.240000000027,-14.08922472201957,-1.979892546157722,-0.4335697878887472,-0.7582603939394392,-0.620100789878123,-0.38981306731374143,-4.8695846121597945
1,4,25271,38004,8.420719401685727,-14427.239999999987,-0.5709010328043997,14427.239999999952,1.90567670268211,1.8253994360902324,-0.9578746665271749,-0.11731530872013957,-19.97000000000025,-0.013352268080671541,50.559999999999945,3884.4500000000144,-18311.690000000002,-12.486720767939383,-1.316160766434238,-0.39865562994323384,-0.7235029641659766,-0.5709010328043997,-0.37962425007893874,-4.8663813702805605
1,5,23193,33501,7.502263614021472,-12276.06999999997,-0.5293006510585078,12276.06999999999,2.322364744093756,2.141304597701158,-0.9220363007778729,-0.11768463185731284,-48.26999999999998,-0.024091737449517456,50.559999999999945,3725.8700000000154,-16001.939999999984,-11.370656678033441,-0.8682267100590587,-0.37075419800118786,-0.6922163911778421,-0.5293006510585078,-0.3664389122712746,-4.4976191258367555
1,6,21493,30189,6.839436095472945,-11348.869999999986,-0.5280263341553058,11348.869999999995,2.381577590157534,2.1587891156462677,-0.9064534049060609,-0.11693777043688461,-48.26999999999998,-0.04323191271576685,71.45500000000038,3173.4200000000137,-14522.29,-10.59699973736068,-0.8432664334760684,-0.36457171954257883,-0.6968081015416201,-0.5280263341553058,-0.3759273245221765,-4.515447251838104
1,7,19990,27464,6.453226613306653,-10361.04999999998,-0.5183116558279129,10361.049999999988,2.507227418402727,2.242015503875982,-0.894221037716753,-0.1100232699683156,-48.26999999999998,-0.04874763214940652,71.45500000000038,2892.200000000017,-13253.249999999996,-9.437341847962465,-0.7691256624683,-0.35396057349351917,-0.6918325865584425,-0.5183116558279129,-0.3772593212933287,-4.710927569932941
1,8,18779,25333,6.097236274562011,-9349.689999999979,-0.4978800788114372,9349.890000000021,2.777514625558828,2.4375371179039558,-0.8775965013734285,-0.09696188117932965,-48.26999999999998,-0.06874312618705107,71.45500000000038,2790.9800000000296,-12140.67000000001,-8.916324753345254,-0.6383320923058919,-0.3363229260336444,-0.6754649717886473,-0.4978800788114372,-0.36907156673114033,-5.134802179535017
2,1,35037,59109,24.902246196877588,-6204.649999999945,-0.17708850643605176,6205.639999999928,1.6102205483705028,1.22035759312321,-0.7578822629969398,-0.18219345739266019,-30.033333333333303,0.06175094423989931,46.64333333333343,10647.620000000008,-16852.269999999953,-6.481691471848269,-0.7658289854626454,-0.16957798298529683,-0.2652561036611432,-0.17708850643605176,-0.10496963237408762,-0.9719806022144565
2,2,35409,57310,23.33305091925782,-8252.629999999866,-0.23306588720381446,8253.74999999985,1.403872200908924,1.033213507625278,-0.7359740487462701,-0.17022150677322967,-30.033333333333303,0.06909250943733701,42.5649999999996,8536.410000000047,-16789.039999999914,-8.353474741656687,-1.5682028764470641,-0.2232514250374594,-0.32316861536092367,-0.23306588720381446,-0.1439998255103798,-1.3691917761855237
2,3,32278,48772,19.710019208129374,-7544.139999999903,-0.23372389863064325,7544.139999999899,1.6035308078980623,1.1108252121974278,-0.6927370567039606,-0.15035083235227154,-30.033333333333303,0.048807417849102815,42.5649999999996,7067.070000000035,-14611.209999999937,-9.662159723080174,-1.118060368654932,-0.22831525768850824,-0.33725458707292305,-0.23372389863064325,-0.15468178463052373,-1.5545234766843783
2,4,29824,42757,17.050026824034333,-7012.68999999991,-0.2351357966738167,7012.6899999999405,1.797427882960774,1.1977109144542863,-0.666347131814481,-0.13012040079577739,-30.033333333333303,0.024832657144135316,50.559999999999945,6090.360000000046,-13103.049999999956,-9.471872698085717,-0.8850275624946302,-0.2321477153525655,-0.34852473491008584,-0.2351357966738167,-0.16401267628692168,-1.8070632678334575
2,5,27711,38286,15.282739706253833,-6434.889999999961,-0.23221428313665912,6434.889999999958,1.9895378853594026,1.2923541912632872,-0.6495750600043629,-0.12395579974257913,-48.33000000000038,0.009194212887783087,50.559999999999945,5473.120000000022,-11908.009999999982,-9.20706667864968,-0.7225321166910087,-0.24727956423888497,-0.352795067253524,-0.23221428313665912,-0.16807423078932146,-1.8733635991127644
2,6,26001,34971,14.072535671704934,-6068.899999999976,-0.2334102534517894,6068.899999999978,2.1180486863149395,1.3520716042634617,-0.6383571883873201,-0.11411865569272783,-48.33000000000038,-0.013353685114674144,72.21500000000015,4947.230000000007,-11016.129999999983,-8.960985205079606,-0.6540718479540857,-0.24871330767023514,-0.358253386521653,-0.2334102534517894,-0.17354093391667313,-2.0453295040581465
2,7,24386,32147,13.249405396538998,-5642.419999999993,-0.23137948002952485,5642.419999999964,2.226247830272658,1.3943206437635394,-0.6263097148500179,-0.10139175483200541,-48.33000000000038,-0.02502334672899661,72.21500000000015,4505.049999999996,-10147.469999999988,-8.487199211265937,-0.6025421548540967,-0.25151539417959207,-0.3585882070717678,-0.23137948002952485,-0.17551933306373824,-2.2820344752183677
2,8,23109,29973,12.432385650612316,-5217.649999999994,-0.2257843264528969,5217.64999999998,2.4129320937223255,1.4913957535677007,-0.6180844282554961,-0.08750266851298712,-48.33000000000038,-0.052580776609400755,72.21500000000015,4284.780000000004,-9502.429999999998,-8.122015457763647,-0.5170763733590197,-0.25118498290375024,-0.35582571682799846,-0.2257843264528969,-0.17407833717011958,-2.5803136097430683
3,1,34236,58090,23.872531837831524,-4229.45000000011,-0.12353808856175108,4229.720000000102,2.015232085785484,1.6455854643337782,-0.816573672055431,-0.21138650835377695,-41.71500000000015,0.08002370311952489,33.39999999999964,13449.36999999997,-17678.82000000008,-13.502265439949603,-0.2980369874407581,-0.095651942847406,-0.22879394832283928,-0.12353808856175108,-0.0728085729041162,-0.5844180384256003
3,2,33910,49793,22.338543202595105,-3657.6400000000576,-0.10786316720731517,3658.5200000000577,1.9884801409769413,1.2748132013201232,-0.6410992873651767,-0.1946335397621142,-41.71500000000015,0.08916799370883763,41.86999999999944,9656.709999999934,-13314.34999999999,-8.969045301363614,-0.34041596635980964,-0.10990142471781425,-0.21311234835629594,-0.10786316720731517,-0.07345691161408346,-0.5541859195447411
3,3,33230,47994,22.079446283478784,-3778.900000000092,-0.1137195305446913,3779.780000000092,1.952406595854339,1.228390350279397,-0.6291672814913201,-0.1794157638679895,-41.71500000000015,0.07865525629451346,41.86999999999944,9012.699999999935,-12791.600000000028,-8.972803444016055,-0.3795565840770717,-0.11619531629308039,-0.21902884199984396,-0.1137195305446913,-0.07873692544901638,-0.6338324353057619
3,4,31012,43184,20.130917064362183,-3417.30000000002,-0.11019282858248484,3417.30000000002,2.1698134088299486,1.3295851353515888,-0.6127647335669084,-0.15577112623070577,-41.71500000000015,0.06112491401178081,50.46000000000004,8300.59999999997,-11717.899999999989,-8.697744570189695,-0.30744891832915416,-0.11432825690600777,-0.22175189235517817,-0.11019282858248484,-0.07913347536124538,-0.7074021434452691
3,5,29194,39351,18.188668904569433,-3339.7500000000114,-0.11439850654244062,3339.750000000012,2.3669006476219674,1.3993973634651566,-0.5912362079376402,-0.15302442282660716,-47.000000000000455,0.05219788312667035,50.46000000000004,7430.799999999982,-10770.549999999992,-8.576507803379902,-0.283108154258586,-0.1365109560874883,-0.2291664585319798,-0.11439850654244062,-0.08487077837920284,-0.7475833231670882
3,6,27679,36432,16.74916001300625,-3240.310000000014,-0.11706745185881044,3240.310000000014,2.5544918609626333,1.4843593615185486,-0.5810781330730815,-0.14151971410334957,-47.000000000000455,0.03674467406096193,72.34000000000015,6881.489999999992,-10121.800000000007,-8.731530111750985,-0.25920488143051906,-0.14026609396013476,-0.2351347021353021,-0.11706745185881044,-0.08894131532718527,-0.827216565554379
3,7,26125,33752,15.739712918660286,-3343.6199999999735,-0.12798545454545354,3343.619999999973,2.6043161525430287,1.4948954280155708,-0.574006894883271,-0.12503301435406486,-47.000000000000455,0.020774832535886537,72.34000000000015,6147.0100000000275,-9490.630000000001,-8.489716470945393,-0.277960795342136,-0.15363662005215475,-0.24836760869149918,-0.12798545454545354,-0.0990643517421182,-1.0236132849123196
